feature,importance
AUC_FILL,0.2017185
Vmax_T,0.143818
Vmax,0.111095466
AUC_P,0.09195055
AUC_T,0.053588383
B_A2,0.052788306
T,0.035717208
T2,0.030527122
SeasonLen,0.023540683
DL_m2,0.019803658
DL_s2,0.019369725
AUC,0.018246492
FWHM,0.01651495
P2,0.015972849
DL_va,0.01527141
UpSlope,0.0144875655
DL_vb,0.013954101
B_A7,0.0137342205
B_A3,0.012035056
DL_s1,0.011992498
DL_m1,0.01099665
P,0.0099135805
Tpeak,0.009034205
B_A1,0.008702978
S,0.008399363
B_A6,0.008304482
B_A10,0.007460353
B_A8,0.006744345
DnSlope,0.0062625897
FWHM_P,0.0037952561
B_A4,0.0025396175
B_A5,0.001391621
B_A9,0.00032813294
CDD,0.0
HDD,0.0
