年份,区块,plant,intensity
2026,A1,0,0.0
2026,A2,0,0.0
2026,A3,0,0.0
2026,A4,1,1.0
2026,A5,1,1.0
2026,A6,1,1.12
2026,A7,1,1.0
2026,A8,0,0.0
2026,A9,1,1.15
2026,A10,1,1.0
2027,A1,0,0.0
2027,A2,0,0.0
2027,A3,0,0.0
2027,A4,1,1.0
2027,A5,1,1.0
2027,A6,1,1.12
2027,A7,1,1.0
2027,A8,1,1.0
2027,A9,0,0.0
2027,A10,1,1.0
2028,A1,0,0.0
2028,A2,0,0.0
2028,A3,1,1.1
2028,A4,1,1.0
2028,A5,0,0.0
2028,A6,0,0.0
2028,A7,1,1.0
2028,A8,1,1.0
2028,A9,1,1.15
2028,A10,1,1.0
2029,A1,0,0.0
2029,A2,0,0.0
2029,A3,0,0.0
2029,A4,0,0.0
2029,A5,1,1.0
2029,A6,1,1.12
2029,A7,1,1.0
2029,A8,1,1.0
2029,A9,1,1.15
2029,A10,1,1.0
2030,A1,0,0.0
2030,A2,0,0.0
2030,A3,1,1.1
2030,A4,1,1.0
2030,A5,1,1.0
2030,A6,1,1.12
2030,A7,0,0.0
2030,A8,1,1.0
2030,A9,1,1.15
2030,A10,0,0.0
